anime_id,name,genre,type,episodes,rating,members,popularity_tier,episode_bucket,is_highly_rated,genre_list
431,Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",Movie,1.0,8.74,333186,Popular,Single,1,"['Adventure', 'Drama', 'Fantasy', 'Romance']"
11741,Fate/Zero 2nd Season,"Action, Fantasy, Supernatural, Thriller",TV,12.0,8.73,340973,Popular,Short,1,"['Action', 'Fantasy', 'Supernatural', 'Thriller']"
31757,Kizumonogatari II: Nekketsu-hen,"Action, Mystery, Supernatural, Vampire",Movie,1.0,8.73,34347,Moderate,Single,1,"['Action', 'Mystery', 'Supernatural', 'Vampire']"
19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74.0,8.72,247562,Popular,Very Long,1,"['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller']"
12365,Bakuman. 3rd Season,"Comedy, Drama, Romance, Shounen",TV,25.0,8.71,133620,Popular,Standard,1,"['Comedy', 'Drama', 'Romance', 'Shounen']"
1535,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37.0,8.71,1013917,Mega Hit,Long,1,"['Mystery', 'Police', 'Psychological', 'Supernatural', 'Thriller']"
32366,Gintama°: Aizome Kaori-hen,"Comedy, Parody",OVA,2.0,8.69,16947,Moderate,Short,1,"['Comedy', 'Parody']"
30654,Ansatsu Kyoushitsu (TV) 2nd Season,"Action, Comedy, School, Shounen",TV,25.0,8.68,176475,Popular,Standard,1,"['Action', 'Comedy', 'School', 'Shounen']"
20583,Haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,25.0,8.68,284498,Popular,Standard,1,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']"
19647,Hajime no Ippo: Rising,"Comedy, Drama, Shounen, Sports",TV,25.0,8.68,66756,Moderate,Standard,1,"['Comedy', 'Drama', 'Shounen', 'Sports']"
4282,Kara no Kyoukai 5: Mujun Rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,1.0,8.68,111074,Popular,Single,1,"['Action', 'Drama', 'Mystery', 'Romance', 'Supernatural', 'Thriller']"
10379,Natsume Yuujinchou San,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13.0,8.67,102322,Popular,Standard,1,"['Drama', 'Fantasy', 'Shoujo', 'Slice of Life', 'Supernatural']"
22135,Ping Pong The Animation,"Psychological, Seinen, Sports",TV,11.0,8.67,97187,Moderate,Short,1,"['Psychological', 'Seinen', 'Sports']"
21329,Mushishi Special: Hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1.0,8.66,49036,Moderate,Single,1,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']"
31043,Boku dake ga Inai Machi,"Mystery, Psychological, Seinen, Supernatural",TV,12.0,8.65,402381,Popular,Short,1,"['Mystery', 'Psychological', 'Seinen', 'Supernatural']"
7785,Yojouhan Shinwa Taikei,"Mystery, Psychological, Romance",TV,11.0,8.65,122531,Popular,Short,1,"['Mystery', 'Psychological', 'Romance']"
3297,Aria The Origination,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13.0,8.64,56162,Moderate,Standard,1,"['Fantasy', 'Sci-Fi', 'Shounen', 'Slice of Life']"
30709,Kamisama Hajimemashita: Kako-hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4.0,8.64,33422,Moderate,Short,1,"['Comedy', 'Demons', 'Fantasy', 'Shoujo', 'Supernatural']"
6114,Rainbow: Nisha Rokubou no Shichinin,"Drama, Historical, Seinen, Thriller",TV,26.0,8.64,139474,Popular,Standard,1,"['Drama', 'Historical', 'Seinen', 'Thriller']"
31240,Re:Zero kara Hajimeru Isekai Seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,25.0,8.64,355839,Popular,Standard,1,"['Drama', 'Fantasy', 'Psychological', 'Thriller']"
4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1.0,8.64,82253,Moderate,Single,1,"['Action', 'Mecha', 'Sci-Fi', 'Space', 'Super Power']"
5300,Zoku Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13.0,8.64,114173,Popular,Standard,1,"['Drama', 'Fantasy', 'Shoujo', 'Slice of Life', 'Supernatural']"
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama, Slice of Life, Supernatural",TV,11.0,8.62,463835,Popular,Short,1,"['Drama', 'Slice of Life', 'Supernatural']"
24415,Kuroko no Basket 3rd Season,"Comedy, School, Shounen, Sports",TV,25.0,8.62,184525,Popular,Standard,1,"['Comedy', 'School', 'Shounen', 'Sports']"
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"Sci-Fi, Thriller",Movie,1.0,8.61,192424,Popular,Single,1,"['Sci-Fi', 'Thriller']"
10408,Hotarubi no Mori e,"Drama, Romance, Shoujo, Supernatural",Movie,1.0,8.61,197439,Popular,Single,1,"['Drama', 'Romance', 'Shoujo', 'Supernatural']"
28171,Shokugeki no Souma,"Ecchi, School, Shounen",TV,24.0,8.61,348951,Popular,Standard,1,"['Ecchi', 'School', 'Shounen']"
32995,Yuri!!! on Ice,"Comedy, Sports",TV,12.0,8.61,103178,Popular,Short,1,"['Comedy', 'Sports']"
21899,Gintama: Yorinuki Gintama-san on Theater 2D,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2.0,8.6,11104,Moderate,Short,1,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']"
26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,"Action, Adventure, Drama, Shounen, Supernatural",TV,24.0,8.6,93657,Moderate,Standard,1,"['Action', 'Adventure', 'Drama', 'Shounen', 'Supernatural']"
7472,Gintama Movie: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1.0,8.59,51185,Moderate,Single,1,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']"
777,Hellsing Ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10.0,8.59,297454,Popular,Short,1,"['Action', 'Horror', 'Military', 'Seinen', 'Supernatural', 'Vampire']"
22535,Kiseijuu: Sei no Kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24.0,8.59,425457,Popular,Standard,1,"['Action', 'Drama', 'Horror', 'Psychological', 'Sci-Fi', 'Seinen']"
28735,Shouwa Genroku Rakugo Shinjuu,"Drama, Historical, Josei",TV,13.0,8.59,71295,Moderate,Standard,1,"['Drama', 'Historical', 'Josei']"
12431,Uchuu Kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99.0,8.59,72958,Moderate,Very Long,1,"['Comedy', 'Sci-Fi', 'Seinen', 'Slice of Life', 'Space']"
28805,Bakemono no Ko,"Adventure, Supernatural",Movie,1.0,8.58,80825,Moderate,Single,1,"['Adventure', 'Supernatural']"
578,Hotaru no Haka,"Drama, Historical",Movie,1.0,8.58,174878,Popular,Single,1,"['Drama', 'Historical']"
16894,Kuroko no Basket 2nd Season,"Comedy, School, Shounen, Sports",TV,25.0,8.58,243325,Popular,Standard,1,"['Comedy', 'School', 'Shounen', 'Sports']"
5028,Major S5,"Comedy, Drama, Romance, Sports",TV,25.0,8.58,28653,Moderate,Standard,1,"['Comedy', 'Drama', 'Romance', 'Sports']"
21,One Piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,,8.58,504862,Mega Hit,Unknown,1,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen', 'Super Power']"
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26.0,8.57,113993,Popular,Standard,1,"['Action', 'Mecha', 'Military', 'Mystery', 'Police', 'Sci-Fi', 'Seinen']"
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,39.0,8.57,74074,Moderate,Long,1,"['Action', 'Adventure', 'Comedy', 'Drama', 'Shounen', 'Supernatural']"
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),"Action, Mystery, Romance, Supernatural, Thriller",Movie,1.0,8.57,95658,Moderate,Single,1,"['Action', 'Mystery', 'Romance', 'Supernatural', 'Thriller']"
17389,Kingdom 2nd Season,"Action, Historical, Military, Seinen",TV,39.0,8.57,31234,Moderate,Long,1,"['Action', 'Historical', 'Military', 'Seinen']"
170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",TV,101.0,8.56,82570,Moderate,Very Long,1,"['Comedy', 'Drama', 'School', 'Shounen', 'Sports']"
10162,Usagi Drop,"Josei, Slice of Life",TV,11.0,8.56,194855,Popular,Short,1,"['Josei', 'Slice of Life']"
18617,Girls und Panzer der Film,"Military, School",Movie,1.0,8.55,25641,Moderate,Single,1,"['Military', 'School']"
32182,Mob Psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,12.0,8.55,193716,Popular,Short,1,"['Action', 'Comedy', 'Slice of Life', 'Supernatural']"
877,Nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47.0,8.55,197256,Popular,Long,1,"['Comedy', 'Drama', 'Music', 'Romance', 'Shoujo', 'Slice of Life']"
2251,Baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13.0,8.54,363215,Popular,Standard,1,"['Action', 'Comedy', 'Historical', 'Mystery', 'Seinen', 'Supernatural']"
24687,Mushishi Zoku Shou: Odoro no Michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1.0,8.54,34011,Moderate,Single,1,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']"
16498,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25.0,8.54,896229,Mega Hit,Standard,1,"['Action', 'Drama', 'Fantasy', 'Shounen', 'Super Power']"
10030,Bakuman. 2nd Season,"Comedy, Drama, Romance, Shounen",TV,25.0,8.53,151561,Popular,Standard,1,"['Comedy', 'Drama', 'Romance', 'Shounen']"
5941,Cross Game,"Comedy, Drama, Romance, School, Sports",TV,50.0,8.53,53108,Moderate,Long,1,"['Comedy', 'Drama', 'Romance', 'School', 'Sports']"
30346,Doukyuusei (Movie),"Romance, School, Shounen Ai, Slice of Life",Movie,1.0,8.53,28864,Moderate,Single,1,"['Romance', 'School', 'Shounen Ai', 'Slice of Life']"
3784,Evangelion: 2.0 You Can (Not) Advance,"Action, Mecha, Sci-Fi",Movie,1.0,8.53,182224,Popular,Single,1,"['Action', 'Mecha', 'Sci-Fi']"
13125,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25.0,8.53,288376,Popular,Standard,1,"['Drama', 'Horror', 'Mystery', 'Sci-Fi', 'Supernatural']"
12029,Uchuu Senkan Yamato 2199,"Action, Drama, Military, Sci-Fi, Space",OVA,26.0,8.53,44223,Moderate,Standard,1,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']"
14397,Chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,25.0,8.52,86074,Moderate,Standard,1,"['Drama', 'Game', 'Josei', 'Slice of Life', 'Sports']"
10087,Fate/Zero,"Action, Fantasy, Supernatural",TV,13.0,8.51,453630,Popular,Standard,1,"['Action', 'Fantasy', 'Supernatural']"
14719,JoJo no Kimyou na Bouken (TV),"Action, Adventure, Shounen, Supernatural, Vampire",TV,26.0,8.51,190197,Popular,Standard,1,"['Action', 'Adventure', 'Shounen', 'Supernatural', 'Vampire']"
9756,Mahou Shoujo Madoka★Magica,"Drama, Magic, Psychological, Thriller",TV,12.0,8.51,462974,Popular,Short,1,"['Drama', 'Magic', 'Psychological', 'Thriller']"
10165,Nichijou,"Comedy, School, Slice of Life",TV,26.0,8.52,254436,Popular,Standard,1,"['Comedy', 'School', 'Slice of Life']"
13601,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,22.0,8.5,509109,Mega Hit,Standard,1,"['Action', 'Police', 'Psychological', 'Sci-Fi']"
22789,Barakamon,"Comedy, Slice of Life",TV,12.0,8.5,225927,Popular,Short,1,"['Comedy', 'Slice of Life']"
30230,Diamond no Ace: Second Season,"Comedy, School, Shounen, Sports",TV,51.0,8.5,38531,Moderate,Long,1,"['Comedy', 'School', 'Shounen', 'Sports']"
18115,Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25.0,8.5,245026,Popular,Standard,1,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Shounen']"
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1.0,8.5,135735,Popular,Single,1,"['Drama', 'Magic', 'Psychological', 'Thriller']"
11917,Major: World Series,"Comedy, Drama, Sports",OVA,2.0,8.5,13405,Moderate,Short,1,"['Comedy', 'Drama', 'Sports']"
205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26.0,8.5,390076,Popular,Standard,1,"['Action', 'Adventure', 'Comedy', 'Historical', 'Samurai', 'Shounen']"
32282,Shokugeki no Souma: Ni no Sara,"Ecchi, School, Shounen",TV,13.0,8.5,185015,Popular,Standard,1,"['Ecchi', 'School', 'Shounen']"
6594,Katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,12.0,8.49,207241,Popular,Short,1,"['Action', 'Adventure', 'Historical', 'Martial Arts', 'Romance']"
11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1.0,8.49,85361,Moderate,Single,1,"['Drama', 'Magic', 'Psychological', 'Thriller']"
7655,Major S6,"Comedy, Drama, Sports",TV,25.0,8.49,24788,Moderate,Standard,1,"['Comedy', 'Drama', 'Sports']"
2246,Mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,12.0,8.49,88850,Moderate,Short,1,"['Demons', 'Fantasy', 'Historical', 'Horror', 'Mystery', 'Seinen', 'Supernatural']"
25835,Shirobako,"Comedy, Drama",TV,24.0,8.49,146895,Popular,Standard,1,"['Comedy', 'Drama']"
2921,Ashita no Joe 2,"Drama, Sports",TV,47.0,8.48,6259,Niche,Long,1,"['Drama', 'Sports']"
136,Hunter x Hunter,"Action, Adventure, Shounen, Super Power",TV,62.0,8.48,166255,Popular,Very Long,1,"['Action', 'Adventure', 'Shounen', 'Super Power']"
30503,Noragami Aragoto,"Action, Adventure, Shounen, Supernatural",TV,13.0,8.48,299434,Popular,Standard,1,"['Action', 'Adventure', 'Shounen', 'Supernatural']"
12531,Sakamichi no Apollon,"Drama, Josei, Music, Romance, School",TV,12.0,8.48,146592,Popular,Short,1,"['Drama', 'Josei', 'Music', 'Romance', 'School']"
523,Tonari no Totoro,"Adventure, Comedy, Supernatural",Movie,1.0,8.48,271484,Popular,Single,1,"['Adventure', 'Comedy', 'Supernatural']"
467,Ghost in the Shell: Stand Alone Complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26.0,8.47,194491,Popular,Standard,1,"['Action', 'Mecha', 'Military', 'Police', 'Sci-Fi', 'Seinen']"
572,Kaze no Tani no Nausicaä,"Adventure, Fantasy",Movie,1.0,8.47,143273,Popular,Single,1,"['Adventure', 'Fantasy']"
19815,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12.0,8.47,602291,Mega Hit,Short,1,"['Adventure', 'Comedy', 'Ecchi', 'Fantasy', 'Game', 'Supernatural']"
2559,Romeo no Aoi Sora,"Adventure, Drama, Historical, Slice of Life",TV,33.0,8.47,15074,Moderate,Long,1,"['Adventure', 'Drama', 'Historical', 'Slice of Life']"
392,Yuu☆Yuu☆Hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112.0,8.47,195017,Popular,Very Long,1,"['Action', 'Comedy', 'Demons', 'Fantasy', 'Martial Arts', 'School', 'Shounen']"
486,Kino no Tabi: The Beautiful World,"Action, Adventure, Slice of Life",TV,13.0,8.46,102822,Popular,Standard,1,"['Action', 'Adventure', 'Slice of Life']"
11771,Kuroko no Basket,"Comedy, School, Shounen, Sports",TV,25.0,8.46,338315,Popular,Standard,1,"['Comedy', 'School', 'Shounen', 'Sports']"
1698,Nodame Cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,23.0,8.46,157025,Popular,Standard,1,"['Comedy', 'Drama', 'Josei', 'Music', 'Romance', 'Slice of Life']"
5341,Ookami to Koushinryou II,"Adventure, Fantasy, Historical, Romance",TV,12.0,8.46,210491,Popular,Short,1,"['Adventure', 'Fantasy', 'Historical', 'Romance']"
25781,Shingeki no Kyojin: Kuinaki Sentaku,"Action, Fantasy, Shoujo, Supernatural",OVA,2.0,8.45,92543,Moderate,Short,1,"['Action', 'Fantasy', 'Shoujo', 'Supernatural']"
10863,Steins;Gate: Oukoubakko no Poriomania,"Sci-Fi, Thriller",Special,1.0,8.46,159548,Popular,Single,1,"['Sci-Fi', 'Thriller']"
28701,Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,13.0,8.45,205987,Popular,Standard,1,"['Action', 'Fantasy', 'Magic', 'Shounen', 'Supernatural']"
5420,Kemono no Souja Erin,"Drama, Fantasy",TV,50.0,8.45,36751,Moderate,Long,1,"['Drama', 'Fantasy']"
9260,Kizumonogatari I: Tekketsu-hen,"Mystery, Supernatural, Vampire",Movie,1.0,8.45,99579,Moderate,Single,1,"['Mystery', 'Supernatural', 'Vampire']"
32,Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1.0,8.45,215630,Popular,Single,1,"['Dementia', 'Drama', 'Mecha', 'Psychological', 'Sci-Fi']"
4224,Toradora!,"Comedy, Romance, School, Slice of Life",TV,25.0,8.45,633817,Mega Hit,Standard,1,"['Comedy', 'Romance', 'School', 'Slice of Life']"
2236,Toki wo Kakeru Shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,1.0,8.44,289206,Popular,Single,1,"['Adventure', 'Drama', 'Romance', 'Sci-Fi']"
2685,Tsubasa: Tokyo Revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,3.0,8.44,57963,Moderate,Short,1,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance', 'Shounen']"
31181,Owarimonogatari,"Comedy, Mystery, Supernatural",TV,12.0,8.43,107855,Popular,Short,1,"['Comedy', 'Mystery', 'Supernatural']"
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94.0,8.43,218928,Popular,Very Long,1,"['Action', 'Adventure', 'Comedy', 'Historical', 'Romance', 'Samurai']"
2418,Stranger: Mukou Hadan,"Action, Adventure, Historical, Samurai",Movie,1.0,8.43,125503,Popular,Single,1,"['Action', 'Adventure', 'Historical', 'Samurai']"
1365,Detective Conan Movie 06: The Phantom of Baker Street,"Adventure, Mystery, Police, Shounen",Movie,1.0,8.42,28462,Moderate,Single,1,"['Adventure', 'Mystery', 'Police', 'Shounen']"
22297,Fate/stay night: Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12.0,8.42,267484,Popular,Short,1,"['Action', 'Fantasy', 'Magic', 'Shounen', 'Supernatural']"
627,Major S1,"Comedy, Drama, Shounen, Sports",TV,26.0,8.42,41061,Moderate,Standard,1,"['Comedy', 'Drama', 'Shounen', 'Sports']"
10937,Mobile Suit Gundam: The Origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6.0,8.42,15420,Moderate,Short,1,"['Action', 'Mecha', 'Military', 'Sci-Fi', 'Shounen', 'Space']"
